Epoch	cost
1	843294.2
2	232194
3	149538.1
4	69852.12
5	72659.14
6	37583.23
7	28229.61
8	11495.565
9	9438.813
10	13554.119
11	16194.496
12	2587.142
13	3220.2795
14	528.27814
15	882.6415
16	554.9063
17	3141.3464
18	380.56747
19	2630.983
20	681.628
21	410.5493
22	462.56488
23	710.8861
24	2602.0488
25	803.9214
26	5171.733
27	562.10254
28	31.351332
29	982.0185
30	69.51294
31	243.29333
32	56.751465
33	45.353245
34	467.9335
35	301.50528
36	189.52676
37	634.3838
38	19.83884
39	465.23233
40	19.77423
41	205.2928
42	264.53113
43	38.385983
44	81.757744
45	13.21478
46	9.946815
47	9.469614
48	42.18721
49	818.6573
50	979.67224
51	7.0027347
52	66.121475
53	19.60544
54	6.5773234
55	7.3998265
56	61.840534
57	6.8924
58	8.488658
59	7.9515567
60	97.68299
61	7.0997972
62	10.472024
63	73.01178
64	10.03634
65	5.386898
66	6.346313
67	6.350518
68	19.072054
69	60.66877
70	46.28726
71	18.496523
72	5.1231356
73	6.1586123
74	4.7379365
75	39.557907
76	4.5374594
77	16.971796
78	4.928441
79	4.7676787
80	19.14121
81	4.9720464
82	3.8409307
83	10.110501
84	3.7834988
85	4.445158
86	5.701177
87	3.6921723
88	3.8307495
89	186.8656
90	4.446712
91	3.8080764
92	3.230073
93	5.0378933
94	2.7255306
95	3.1068666
96	2.6413803
97	3.4276886
98	3.0129614
99	2.7133882
100	3.4523335
101	3.1235359
102	2.0864327
103	1.9580463
104	1.987768
105	1.9272163
106	2.098227
107	2.0871534
108	91.026505
109	2.0360785
110	1.581538
111	1.8225353
112	204.7895
113	2.1883814
114	1.2905964
115	1.5143081
116	1.2938416
117	1.1931391
118	1.3835224
119	1.7371376
120	1.1448791
121	1.0770769
122	1.0187503
123	1.4931425
124	1.059441
125	0.7773073
126	1.1390398
127	0.8377397
128	0.6958033
129	0.8468852
130	0.7448695
131	1.0192803
132	0.6303276
133	0.52575487
134	1.0221676
135	0.60836387
136	0.76413393
137	4.4534116
138	0.41493425
139	0.5263125
140	0.5977483
141	0.6085678
142	0.46536362
143	0.5227027
144	0.40059322
145	0.5420529
146	0.4875655
147	0.73928154
148	0.4541382
149	0.6111376
150	0.3440822
151	0.49238652
152	0.45822442
153	0.340008
154	0.5287815
155	0.42639756
156	0.41479018
157	0.605718
158	0.34864476
159	0.53181106
160	0.39837572
161	0.91156405
162	0.40569612
163	0.37969813
164	0.58898264
165	0.36301994
166	0.54956704
167	0.7401322
168	0.5218933
169	0.30733275
170	0.23213282
171	0.42601204
172	0.60026276
173	0.5342513
174	0.51775914
175	0.31210083
176	0.30600375
177	0.43005645
178	0.3398356
179	0.4748198
180	0.5148619
181	0.44041505
182	0.5225169
183	0.54557955
184	0.5245644
185	0.4742884
186	0.24010362
187	0.28659645
188	0.39431384
189	0.28179994
190	4.1876845
191	0.5096608
192	0.30379218
193	0.4310021
194	0.22053275
195	0.30330414
196	0.67229825
197	0.3091545
198	0.29185095
199	0.44084764
200	0.39130154
201	0.37115297
202	0.4880007
203	0.32974845
204	0.46542305
205	0.42432585
206	0.59806615
207	0.40273446
208	0.37939048
209	0.27005166
210	0.33643854
211	0.4270724
212	0.3471776
213	0.52346903
214	0.3750497
215	0.4808232
216	0.5712785
217	0.36916912
218	0.40448627
219	0.34550458
220	0.45556736
221	0.2918544
222	0.3532275
223	0.34684423
224	0.6658262
225	0.34980866
226	0.4778513
227	0.33891675
228	0.4298673
229	0.42019737
230	0.22421297
231	0.33319908
232	0.30715218
233	0.28311822
234	0.5534688
235	0.30635917
236	0.49359897
237	0.49715135
238	0.21764097
239	0.2848284
240	0.43264464
241	0.44332638
242	0.5035266
243	0.72902936
244	0.699979
245	0.44592193
246	0.3641632
247	0.20811293
248	0.4109761
249	0.389022
250	0.59334123
251	0.3868742
252	0.4920209
253	0.3626646
254	0.4788932
255	0.4624642
256	0.28531173
257	0.43945998
258	0.51244414
259	0.5194556
260	0.56656325
261	0.33014634
262	0.47798207
263	0.5720026
264	0.60076547
265	0.47964668
266	0.29907632
267	0.7836179
268	0.32645318
269	0.36958048
270	0.3969947
271	0.3064364
272	0.26878208
273	0.5342096
274	0.36350474
275	0.39652732
276	0.44381014
277	0.3509438
278	0.46605965
279	0.5094981
280	0.52701104
281	0.3047923
282	0.4283176
283	0.4830849
284	0.68989754
285	0.30790612
286	0.6030011
287	0.35638493
288	0.28027913
289	0.34741947
290	0.48228717
291	0.45552707
292	0.24894096
293	0.5565464
294	0.5297737
295	0.487821
296	0.3238711
297	0.60769653
298	0.32720447
299	0.4714163
300	0.39545575
301	0.5607752
302	0.34134582
303	0.29314572
304	0.34170163
305	0.2948722
306	0.3257054
307	0.40210012
308	0.41281837
309	0.30470702
310	0.31278798
311	0.5877332
312	0.30016285
313	0.33250663
314	0.3337086
315	0.42776546
316	0.4083551
317	0.2950197
318	0.5717755
319	0.30488032
320	0.62466395
321	0.32987994
322	0.2943578
323	0.45057708
324	0.6591917
325	0.27017945
326	0.48004398
327	0.35144454
328	0.67277104
329	0.40159714
330	0.32822028
331	0.5495657
332	0.50018513
333	0.39623952
334	0.5742032
335	0.25457436
336	0.25991535
337	0.27918777
338	0.26915368
339	0.68191516
340	0.37908706
341	0.41344306
342	0.32872796
343	0.44995275
344	0.49524572
345	0.4184743
346	0.39423478
347	0.55216813
348	0.31582823
349	0.52690697
350	0.41531265
351	0.434535
352	0.5364017
353	0.23916303
354	0.25306016
355	0.42268613
356	0.49618265
357	0.45345008
358	0.38917968
359	0.5776125
360	0.32453075
361	0.2285126
362	0.36662292
363	0.5205482
364	0.43957445
365	0.5618923
366	0.3541676
367	0.45320985
368	0.6055934
369	0.30081254
370	0.28389287
371	0.454822
372	0.30780318
373	0.45440748
374	0.34700832
375	0.43556264
376	0.4582687
377	0.7803907
378	0.33897826
379	0.524799
380	0.34177905
381	0.4199313
382	0.38904616
383	0.424473
384	0.32251176
385	0.513763
386	0.490016
387	0.5427515
388	0.3090777
389	0.32652465
390	0.43513608
391	0.55330884
392	0.38625672
393	0.3850605
394	0.47417906
395	0.40622312
396	0.55517536
397	0.4753485
398	0.42768043
399	0.37304172
400	0.36804456
401	0.3159632
402	0.39087835
403	0.2805339
404	0.3477616
405	0.62202185
406	0.51139784
407	0.36066225
408	0.36667392
409	0.28657866
410	0.192315
411	0.38163516
412	0.59842974
413	0.46337724
414	0.45611638
415	0.35592028
416	0.33319286
417	0.63490516
418	0.44050905
419	0.3492541
420	0.46484563
421	0.33283544
422	0.2416791
423	0.33245835
424	0.32257187
425	0.43775782
426	0.41603637
427	0.4252792
428	0.5603064
429	0.45911118
430	0.34345606
431	0.5160136
432	0.4663658
433	0.5571853
434	0.32810113
435	0.5961551
436	0.36806762
437	0.47423214
438	0.5818156
439	0.5082282
440	0.40064296
441	0.58960706
442	0.20269054
443	0.3279315
444	0.34207776
445	0.3838751
446	0.58970964
447	0.36092398
448	0.318537
449	0.4300574
450	0.5779758
451	0.3092017
452	0.3069994
453	0.49465233
454	0.41359827
455	0.59250593
456	0.47357908
457	0.33695212
458	0.5745262
459	0.38869378
460	0.32805404
461	0.55148745
462	0.4217371
463	0.41010168
464	0.5761573
465	0.4503418
466	0.47223693
467	0.3987175
468	0.6341882
469	0.3626947
470	0.25742725
471	0.28630027
472	0.37144488
473	0.3502243
474	0.40863544
475	0.5095244
476	0.3169489
477	0.4339529
478	0.40169984
479	0.27170926
480	0.4348434
481	0.36220628
482	0.23837306
483	0.6002728
484	0.7740837
485	0.3546145
486	0.21609716
487	0.5704965
488	0.5299913
489	0.4584945
490	0.4497296
491	0.62974626
492	0.2865461
493	0.29474202
494	0.55549264
495	0.38989514
496	0.35013542
497	0.3453192
498	0.5689031
499	0.5168391
500	0.4503927
501	0.27270082
502	0.40049338
503	0.34031555
504	0.5476335
505	0.5810082
506	0.19857153
507	0.43604717
508	0.44912636
509	0.47970217
510	0.494641
511	0.56439644
512	0.49224713
513	0.24111106
514	0.39419937
515	0.33174834
516	0.38005593
517	0.694491
518	0.5045217
519	0.27658194
520	0.2784232
521	0.32625994
522	0.48307303
523	0.31355923
524	0.32149994
525	0.40763324
526	0.3450572
527	0.34955186
528	0.31539664
529	0.371569
530	0.2874203
531	0.39746717
532	0.37205124
533	0.23270765
534	0.36593053
535	0.24668461
536	0.41899657
537	0.39316612
538	0.460236
539	0.29364085
540	0.5383285
541	0.3757588
542	0.40237787
543	0.6875224
544	0.32317325
545	0.46461836
546	0.5715585
547	0.50275713
548	0.44513893
549	0.5905259
550	0.31172362
551	0.4279218
552	0.24940158
553	0.538098
554	0.40289515
555	0.45538223
556	0.30031797
557	0.40364912
558	0.5237927
559	0.35087806
560	0.49530485
561	0.41951284
562	0.44820163
563	0.45463496
564	0.3971243
565	0.62003666
566	0.32334727
567	0.69616616
568	0.525596
569	0.4695642
570	0.3152326
571	0.5963266
572	0.42664552
573	0.5488128
574	0.5186902
575	0.33329773
576	0.42751735
577	0.4947162
578	0.37834382
579	0.46204782
580	0.5168567
581	0.31078416
582	0.38972625
583	0.5479399
584	0.3681011
585	0.30356988
586	0.5573155
587	0.40860707
588	0.34069303
589	0.37897217
590	0.40653464
591	0.55097353
592	0.2273858
593	0.31652328
594	0.47056597
595	0.23823182
596	0.36843216
597	0.628994
598	0.41627845
599	0.19058836
600	0.34719127
601	0.35072488
602	0.42185295
603	0.3202518
604	0.4351173
605	0.41049796
606	0.41223493
607	0.3310302
608	0.40441728
609	0.4188684
610	0.5275509
611	0.36775184
612	0.44889176
613	0.43912515
614	0.46131307
615	0.43433
616	0.3577492
617	0.2777045
618	0.33466282
619	0.5632777
620	0.6096454
621	0.4486531
622	0.27289248
623	0.41087416
624	0.37276575
625	0.38730887
626	0.24954547
627	0.35862488
628	0.49909425
629	0.5148473
630	0.3531688
631	0.33108482
632	0.35419232
633	0.54591596
634	0.3152643
635	0.5393785
636	0.47643185
637	0.38064435
638	0.4699708
639	0.675177
640	0.44030073
641	0.3971827
642	0.31710392
643	0.41593722
644	0.32888195
645	0.3079711
646	0.4157839
647	0.54505396
648	0.3766395
649	0.5123466
650	0.4016494
651	0.6119158
652	0.3076701
653	0.21778786
654	0.61090595
655	0.34721398
656	0.42958397
657	0.4801717
658	0.49090442
659	0.5973803
660	0.54959816
661	0.42270914
662	0.54042584
663	0.39579368
664	0.22767565
665	0.3739085
666	0.5449071
667	0.44844222
668	0.23247305
669	0.4339248
670	0.33018395
671	0.32382634
672	0.45409518
673	0.28215617
674	0.34664416
675	0.2945414
676	0.40659007
677	0.43110877
678	0.3677131
679	0.41319975
680	0.31157595
681	0.31561542
682	0.6406075
683	0.538804
684	0.49858367
685	0.55815417
686	0.5654783
687	0.43576017
688	0.5729109
689	0.47879568
690	0.4625626
691	0.37777004
692	0.31730235
693	0.4142207
694	0.4971471
695	0.35535142
696	0.35507053
697	0.41455626
698	0.34587443
699	0.6264259
700	0.38680035
701	0.48638874
702	0.48165795
703	0.5483273
704	0.617734
705	0.69274616
706	0.40992463
707	0.3570456
708	0.33291483
709	0.41294312
710	0.46444026
711	0.47414
712	0.3130757
713	0.3986666
714	0.5101409
715	0.5834034
716	0.43985248
717	0.45883095
718	0.34503606
719	0.30959195
720	0.45125943
721	0.41605094
722	0.3721131
723	0.4304779
724	0.2685392
725	0.40711775
726	0.34597522
727	0.4628636
728	0.32184485
729	0.65530497
730	0.42490375
731	0.2811065
732	0.4365018
733	0.29978722
734	0.35530925
735	0.75203973
736	0.427239
737	0.33464426
738	0.28906852
739	0.35285428
740	0.40959185
741	0.24746853
742	0.42642775
743	0.32227907
744	0.52888376
745	0.34147948
746	0.72322977
747	0.2744165
748	0.32691294
749	0.285914
750	0.33816615
751	0.34751803
752	0.25572798
753	0.36338994
754	0.22951652
755	0.36329696
756	0.25662586
757	0.48771498
758	0.588078
759	0.3605053
760	0.4577943
761	0.31208667
762	0.5248343
763	0.4313715
764	0.49778473
765	0.524462
766	0.6143452
767	0.26338336
768	0.25350937
769	0.39764044
770	0.47576424
771	0.3372346
772	0.5079732
773	0.31730914
774	0.42690068
775	0.60080343
776	0.3969445
777	0.4485518
778	0.62392807
779	0.62983066
780	0.34015474
781	0.39997146
782	0.3993773
783	0.5721417
784	0.44162372
785	0.33461028
786	0.6898601
